Reaction,kT_keV,MACS_mean(b),MACS_std(b)
56Fe_ng_TALYS,5.0,41.151375509355226,1.541366941663787
56Fe_ng_TALYS,10.0,34.031843923147655,1.0379823951532543
56Fe_ng_TALYS,15.0,29.227411390620734,0.8097366449706619
56Fe_ng_TALYS,20.0,26.041255749129906,0.6672259614929164
56Fe_ng_TALYS,25.0,23.733754094273905,0.569345397103063
56Fe_ng_TALYS,30.0,21.917505406754064,0.4869048308349772
56Fe_ng_TALYS,40.0,19.191415614104475,0.40310296452432753
56Fe_ng_TALYS,50.0,17.07677513740736,0.33670478480222865
56Fe_ng_TALYS,60.0,15.30227932631136,0.29754723823668594
56Fe_ng_TALYS,80.0,12.421188265211239,0.2344030561765565
56Fe_ng_TALYS,100.0,10.209197827076814,0.1931475132526159
