Reaction,kT_keV,MACS_mean(b),MACS_std(b)
"⁵⁸Fe(n,g)",10,23.751226717914772,0.7256845577330414
"⁵⁸Fe(n,g)",30,15.17225802097285,0.34119111098745847
"⁵⁸Fe(n,g)",60,10.395833218057962,0.20177919048092233
